indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2008-10-01,cuyo,total,3728,
2008-10-01,litoral,no residentes,42782,
2008-10-01,litoral,residentes,75282,
2008-10-01,litoral,total,118064,
2008-10-01,norte,no residentes,1319,
2008-10-01,norte,residentes,7747,
2008-10-01,norte,total,9066,
2008-10-01,patagonia,no residentes,49646,
2008-10-01,patagonia,residentes,58817,
2008-10-01,patagonia,total,108463,
2008-11-01,buenos aires,no residentes,0,
2008-11-01,buenos aires,residentes,1969,
2008-11-01,buenos aires,total,1969,
2008-11-01,cordoba,no residentes,240,
2008-11-01,cordoba,residentes,1266,
2008-11-01,cordoba,total,1506,
2008-11-01,cuyo,no residentes,206,
2008-11-01,cuyo,residentes,1660,
2008-11-01,cuyo,total,1866,
2008-11-01,litoral,no residentes,50950,
2008-11-01,litoral,residentes,54605,
2008-11-01,litoral,total,105555,
2008-11-01,norte,no residentes,1407,
2008-11-01,norte,residentes,4502,
2008-11-01,norte,total,5909,
2008-11-01,patagonia,no residentes,81111,
2008-11-01,patagonia,residentes,51951,
2008-11-01,patagonia,total,133062,
2008-12-01,buenos aires,no residentes,0,
2008-12-01,buenos aires,residentes,496,
2008-12-01,buenos aires,total,496,
2008-12-01,cordoba,no residentes,184,
2008-12-01,cordoba,residentes,561,
2008-12-01,cordoba,total,745,
2008-12-01,cuyo,no residentes,146,
2008-12-01,cuyo,residentes,1295,
2008-12-01,cuyo,total,1441,
2008-12-01,litoral,no residentes,43988,
2008-12-01,litoral,residentes,37959,
2008-12-01,litoral,total,81947,
2008-12-01,norte,no residentes,2244,
2008-12-01,norte,residentes,5918,
2008-12-01,norte,total,8162,
2008-12-01,patagonia,no residentes,75286,
2008-12-01,patagonia,residentes,78864,
2008-12-01,patagonia,total,154150,
2009-01-01,buenos aires,no residentes,0,
2009-01-01,buenos aires,residentes,1107,
2009-01-01,buenos aires,total,1107,
2009-01-01,cordoba,no residentes,127,
2009-01-01,cordoba,residentes,2025,
2009-01-01,cordoba,total,2152,
2009-01-01,cuyo,no residentes,192,
2009-01-01,cuyo,residentes,6669,
2009-01-01,cuyo,total,6861,
2009-01-01,litoral,no residentes,48493,
2009-01-01,litoral,residentes,113012,
2009-01-01,litoral,total,161505,
2009-01-01,norte,no residentes,2361,
2009-01-01,norte,residentes,11976,
2009-01-01,norte,total,14337,
2009-01-01,patagonia,no residentes,71266,
2009-01-01,patagonia,residentes,263235,
2009-01-01,patagonia,total,334501,
2009-02-01,buenos aires,no residentes,0,
2009-02-01,buenos aires,residentes,1074,
2009-02-01,buenos aires,total,1074,
2009-02-01,cordoba,no residentes,128,
2009-02-01,cordoba,residentes,1413,
2009-02-01,cordoba,total,1541,
2009-02-01,cuyo,no residentes,175,
2009-02-01,cuyo,residentes,5313,
2009-02-01,cuyo,total,5488,
2009-02-01,litoral,no residentes,45576,
2009-02-01,litoral,residentes,84450,
2009-02-01,litoral,total,130026,
2009-02-01,norte,no residentes,1216,
2009-02-01,norte,residentes,5035,
2009-02-01,norte,total,6251,
2009-02-01,patagonia,no residentes,66524,
2009-02-01,patagonia,residentes,181933,
2009-02-01,patagonia,total,248457,
2009-03-01,buenos aires,no residentes,0,
2009-03-01,buenos aires,residentes,1393,
2009-03-01,buenos aires,total,1393,
2009-03-01,cordoba,no residentes,170,
2009-03-01,cordoba,residentes,1309,
2009-03-01,cordoba,total,1479,
2009-03-01,cuyo,no residentes,176,
2009-03-01,cuyo,residentes,2498,
2009-03-01,cuyo,total,2674,
2009-03-01,litoral,no residentes,41804,
2009-03-01,litoral,residentes,42747,
2009-03-01,litoral,total,84551,
2009-03-01,norte,no residentes,1780,
2009-03-01,norte,residentes,4895,
2009-03-01,norte,total,6675,
2009-03-01,patagonia,no residentes,47894,
2009-03-01,patagonia,residentes,83830,
2009-03-01,patagonia,total,131724,
2009-04-01,buenos aires,no residentes,0,
2009-04-01,buenos aires,residentes,1225,
2009-04-01,buenos aires,total,1225,
2009-04-01,cordoba,no residentes,255,
2009-04-01,cordoba,residentes,1820,
2009-04-01,cordoba,total,2075,
2009-04-01,cuyo,no residentes,148,
2009-04-01,cuyo,residentes,4693,
2009-04-01,cuyo,total,4841,
2009-04-01,litoral,no residentes,35776,
2009-04-01,litoral,residentes,59085,
2009-04-01,litoral,total,94861,
2009-04-01,norte,no residentes,1201,
2009-04-01,norte,residentes,6807,
2009-04-01,norte,total,8008,
2009-04-01,patagonia,no residentes,27484,
2009-04-01,patagonia,residentes,61618,
2009-04-01,patagonia,total,89102,
2009-05-01,buenos aires,no residentes,0,
2009-05-01,buenos aires,residentes,2174,
2009-05-01,buenos aires,total,2174,
2009-05-01,cordoba,no residentes,235,
2009-05-01,cordoba,residentes,2299,
2009-05-01,cordoba,total,2534,
2009-05-01,cuyo,no residentes,87,
2009-05-01,cuyo,residentes,3058,
2009-05-01,cuyo,total,3145,
2009-05-01,litoral,no residentes,21453,
2009-05-01,litoral,residentes,40377,
2009-05-01,litoral,total,61830,
2009-05-01,norte,no residentes,977,
2009-05-01,norte,residentes,5053,
2009-05-01,norte,total,6030,
2009-05-01,patagonia,no residentes,8715,
2009-05-01,patagonia,residentes,27412,
2009-05-01,patagonia,total,36127,
2009-06-01,buenos aires,no residentes,0,
2009-06-01,buenos aires,residentes,871,
2009-06-01,buenos aires,total,871,
2009-06-01,cordoba,no residentes,100,
2009-06-01,cordoba,residentes,592,
2009-06-01,cordoba,total,692,
2009-06-01,cuyo,no residentes,55,
2009-06-01,cuyo,residentes,1728,
2009-06-01,cuyo,total,1783,
2009-06-01,litoral,no residentes,18326,
2009-06-01,litoral,residentes,33307,
2009-06-01,litoral,total,51633,
2009-06-01,norte,no residentes,409,
2009-06-01,norte,residentes,3496,
2009-06-01,norte,total,3904,
2009-06-01,patagonia,no residentes,5847,
2009-06-01,patagonia,residentes,20592,
2009-06-01,patagonia,total,26439,
2009-07-01,buenos aires,no residentes,0,
2009-07-01,buenos aires,residentes,2067,
2009-07-01,buenos aires,total,2067,
2009-07-01,cordoba,no residentes,122,
2009-07-01,cordoba,residentes,1385,
2009-07-01,cordoba,total,1507,
2009-07-01,cuyo,no residentes,88,
2009-07-01,cuyo,residentes,7988,
2009-07-01,cuyo,total,8076,
2009-07-01,litoral,no residentes,26420,
2009-07-01,litoral,residentes,79486,
2009-07-01,litoral,total,105906,
2009-07-01,norte,no residentes,2442,
2009-07-01,norte,residentes,18450,
2009-07-01,norte,total,20892,
2009-07-01,patagonia,no residentes,10185,
2009-07-01,patagonia,residentes,32977,
2009-07-01,patagonia,total,43163,
2009-08-01,buenos aires,no residentes,0,
2009-08-01,buenos aires,residentes,2077,
2009-08-01,buenos aires,total,2077,
2009-08-01,cordoba,no residentes,125,
2009-08-01,cordoba,residentes,886,
2009-08-01,cordoba,total,1011,
2009-08-01,cuyo,no residentes,78,
2009-08-01,cuyo,residentes,3111,
2009-08-01,cuyo,total,3189,
2009-08-01,litoral,no residentes,27383,
2009-08-01,litoral,residentes,53899,
2009-08-01,litoral,total,81282,
2009-08-01,norte,no residentes,1974,
2009-08-01,norte,residentes,8000,
2009-08-01,norte,total,9974,
2009-08-01,patagonia,no residentes,11410,
2009-08-01,patagonia,residentes,16341,
2009-08-01,patagonia,total,27751,
2009-09-01,buenos aires,no residentes,0,
2009-09-01,buenos aires,residentes,1602,
2009-09-01,buenos aires,total,1602,
2009-09-01,cordoba,no residentes,243,
2009-09-01,cordoba,residentes,1913,
2009-09-01,cordoba,total,2156,
2009-09-01,cuyo,no residentes,49,
2009-09-01,cuyo,residentes,2802,
2009-09-01,cuyo,total,2851,
2009-09-01,litoral,no residentes,26090,
2009-09-01,litoral,residentes,64369,
2009-09-01,litoral,total,90459,
2009-09-01,norte,no residentes,978,
2009-09-01,norte,residentes,6356,
2009-09-01,norte,total,7334,
2009-09-01,patagonia,no residentes,17117,
2009-09-01,patagonia,residentes,42157,
2009-09-01,patagonia,total,59274,
2009-10-01,buenos aires,no residentes,0,
2009-10-01,buenos aires,residentes,1751,
2009-10-01,buenos aires,total,1751,
2009-10-01,cordoba,no residentes,195,
2009-10-01,cordoba,residentes,2563,
2009-10-01,cordoba,total,2758,
2009-10-01,cuyo,no residentes,118,
2009-10-01,cuyo,residentes,3115,
2009-10-01,cuyo,total,3233,
2009-10-01,litoral,no residentes,37995,
2009-10-01,litoral,residentes,81518,
2009-10-01,litoral,total,119513,
2009-10-01,norte,no residentes,1152,
2009-10-01,norte,residentes,7586,
2009-10-01,norte,total,8738,
2009-10-01,patagonia,no residentes,37797,
2009-10-01,patagonia,residentes,57456,
2009-10-01,patagonia,total,95252,
2009-11-01,buenos aires,no residentes,0,
2009-11-01,buenos aires,residentes,581,
2009-11-01,buenos aires,total,581,
2009-11-01,cordoba,no residentes,207,
2009-11-01,cordoba,residentes,1258,
2009-11-01,cordoba,total,1465,
2009-11-01,cuyo,no residentes,191,
2009-11-01,cuyo,residentes,1880,
2009-11-01,cuyo,total,2071,
2009-11-01,litoral,no residentes,46716,
2009-11-01,litoral,residentes,54563,
2009-11-01,litoral,total,101279,
2009-11-01,norte,no residentes,1313,
2009-11-01,norte,residentes,3479,
2009-11-01,norte,total,4792,
2009-11-01,patagonia,no residentes,70883,
2009-11-01,patagonia,residentes,59744,
2009-11-01,patagonia,total,130626,
2009-12-01,buenos aires,no residentes,0,
2009-12-01,buenos aires,residentes,848,
2009-12-01,buenos aires,total,848,
2009-12-01,cordoba,no residentes,218,
2009-12-01,cordoba,residentes,1105,
2009-12-01,cordoba,total,1323,
2009-12-01,cuyo,no residentes,164,
2009-12-01,cuyo,residentes,1581,
2009-12-01,cuyo,total,1745,
2009-12-01,litoral,no residentes,45649,
2009-12-01,litoral,residentes,39850,
2009-12-01,litoral,total,85499,
2009-12-01,norte,no residentes,944,
2009-12-01,norte,residentes,2050,
2009-12-01,norte,total,2994,
2009-12-01,patagonia,no residentes,71933,
2009-12-01,patagonia,residentes,73597,
2009-12-01,patagonia,total,145530,
2010-01-01,buenos aires,no residentes,0,
2010-01-01,buenos aires,residentes,582,
2010-01-01,buenos aires,total,582,
2010-01-01,cordoba,no residentes,66,
2010-01-01,cordoba,residentes,1975,
2010-01-01,cordoba,total,2041,
2010-01-01,cuyo,no residentes,187,
2010-01-01,cuyo,residentes,6672,
2010-01-01,cuyo,total,6859,
2010-01-01,litoral,no residentes,55218,
2010-01-01,litoral,residentes,113616,
2010-01-01,litoral,total,168834,
2010-01-01,norte,no residentes,1911,
2010-01-01,norte,residentes,10856,
2010-01-01,norte,total,12767,
2010-01-01,patagonia,no residentes,90354,
2010-01-01,patagonia,residentes,312426,
2010-01-01,patagonia,total,402780,
2010-02-01,buenos aires,no residentes,0,
2010-02-01,buenos aires,residentes,706,
2010-02-01,buenos aires,total,706,
2010-02-01,cordoba,no residentes,199,
2010-02-01,cordoba,residentes,1798,
2010-02-01,cordoba,total,1997,
2010-02-01,cuyo,no residentes,144,
2010-02-01,cuyo,residentes,5313,
2010-02-01,cuyo,total,5457,
2010-02-01,litoral,no residentes,51064,
2010-02-01,litoral,residentes,75843,
2010-02-01,litoral,total,126907,
2010-02-01,norte,no residentes,3472,
2010-02-01,norte,residentes,9210,
2010-02-01,norte,total,12682,
2010-02-01,patagonia,no residentes,81190,
2010-02-01,patagonia,residentes,195422,
2010-02-01,patagonia,total,276611,
2010-03-01,buenos aires,no residentes,0,
2010-03-01,buenos aires,residentes,1141,
2010-03-01,buenos aires,total,1141,
2010-03-01,cordoba,no residentes,259,
2010-03-01,cordoba,residentes,1130,
2010-03-01,cordoba,total,1389,
2010-03-01,cuyo,no residentes,172,
2010-03-01,cuyo,residentes,2274,
2010-03-01,cuyo,total,2446,
2010-03-01,litoral,no residentes,43249,
2010-03-01,litoral,residentes,41499,
2010-03-01,litoral,total,84748,
2010-03-01,norte,no residentes,1250,
2010-03-01,norte,residentes,3933,
2010-03-01,norte,total,5183,
2010-03-01,patagonia,no residentes,54574,
2010-03-01,patagonia,residentes,107332,
2010-03-01,patagonia,total,161906,
2010-04-01,buenos aires,no residentes,0,
2010-04-01,buenos aires,residentes,530,
2010-04-01,buenos aires,total,530,
2010-04-01,cordoba,no residentes,193,
2010-04-01,cordoba,residentes,1115,
2010-04-01,cordoba,total,1308,
2010-04-01,cuyo,no residentes,133,
2010-04-01,cuyo,residentes,4478,
2010-04-01,cuyo,total,4611,
2010-04-01,litoral,no residentes,32812,
2010-04-01,litoral,residentes,61930,
2010-04-01,litoral,total,94742,
2010-04-01,norte,no residentes,1927,
2010-04-01,norte,residentes,9877,
2010-04-01,norte,total,11804,
2010-04-01,patagonia,no residentes,24456,
2010-04-01,patagonia,residentes,76541,
2010-04-01,patagonia,total,100997,
2010-05-01,buenos aires,no residentes,0,
2010-05-01,buenos aires,residentes,1570,
2010-05-01,buenos aires,total,1570,
2010-05-01,cordoba,no residentes,165,
2010-05-01,cordoba,residentes,1614,
2010-05-01,cordoba,total,1779,
2010-05-01,cuyo,no residentes,71,
2010-05-01,cuyo,residentes,3762,
2010-05-01,cuyo,total,3833,
2010-05-01,litoral,no residentes,22014,
2010-05-01,litoral,residentes,59428,
2010-05-01,litoral,total,81442,
2010-05-01,norte,no residentes,1100,
2010-05-01,norte,residentes,8479,
2010-05-01,norte,total,9579,
2010-05-01,patagonia,no residentes,12245,
2010-05-01,patagonia,residentes,34645,
2010-05-01,patagonia,total,46890,
2010-06-01,buenos aires,no residentes,0,
2010-06-01,buenos aires,residentes,542,
2010-06-01,buenos aires,total,542,
2010-06-01,cordoba,no residentes,105,
2010-06-01,cordoba,residentes,431,
2010-06-01,cordoba,total,536,
2010-06-01,cuyo,no residentes,33,
2010-06-01,cuyo,residentes,1382,
2010-06-01,cuyo,total,1415,
2010-06-01,litoral,no residentes,21218,
2010-06-01,litoral,residentes,41760,
2010-06-01,litoral,total,62978,
2010-06-01,norte,no residentes,663,
2010-06-01,norte,residentes,4854,
2010-06-01,norte,total,5517,
2010-06-01,patagonia,no residentes,8404,
2010-06-01,patagonia,residentes,17901,
2010-06-01,patagonia,total,26305,
2010-07-01,buenos aires,no residentes,0,
2010-07-01,buenos aires,residentes,837,
2010-07-01,buenos aires,total,837,
2010-07-01,cordoba,no residentes,188,
2010-07-01,cordoba,residentes,1510,
2010-07-01,cordoba,total,1698,
2010-07-01,cuyo,no residentes,76,
2010-07-01,cuyo,residentes,7454,
2010-07-01,cuyo,total,7530,
2010-07-01,litoral,no residentes,32713,
2010-07-01,litoral,residentes,125000,
2010-07-01,litoral,total,157713,
2010-07-01,norte,no residentes,3074,
2010-07-01,norte,residentes,27731,
2010-07-01,norte,total,30805,
2010-07-01,patagonia,no residentes,11347,
2010-07-01,patagonia,residentes,37685,
2010-07-01,patagonia,total,49033,
2010-08-01,buenos aires,no residentes,0,
2010-08-01,buenos aires,residentes,1934,
2010-08-01,buenos aires,total,1934,
2010-08-01,cordoba,no residentes,141,
2010-08-01,cordoba,residentes,713,
2010-08-01,cordoba,total,854,
2010-08-01,cuyo,no residentes,76,
2010-08-01,cuyo,residentes,2653,
2010-08-01,cuyo,total,2729,
2010-08-01,litoral,no residentes,32125,
2010-08-01,litoral,residentes,77621,
2010-08-01,litoral,total,109746,
2010-08-01,norte,no residentes,969,
2010-08-01,norte,residentes,7286,
2010-08-01,norte,total,8255,
2010-08-01,patagonia,no residentes,15136,
2010-08-01,patagonia,residentes,25864,
2010-08-01,patagonia,total,41000,
2010-09-01,buenos aires,no residentes,0,
2010-09-01,buenos aires,residentes,1879,
2010-09-01,buenos aires,total,1879,
2010-09-01,cordoba,no residentes,151,
2010-09-01,cordoba,residentes,916,
2010-09-01,cordoba,total,1067,
2010-09-01,cuyo,no residentes,71,
2010-09-01,cuyo,residentes,2504,
2010-09-01,cuyo,total,2575,
2010-09-01,litoral,no residentes,32783,
2010-09-01,litoral,residentes,82479,
2010-09-01,litoral,total,115261,
2010-09-01,norte,no residentes,1084,
2010-09-01,norte,residentes,7153,
2010-09-01,norte,total,8237,
2010-09-01,patagonia,no residentes,21874,
2010-09-01,patagonia,residentes,40562,
2010-09-01,patagonia,total,62437,
2010-10-01,buenos aires,no residentes,0,
2010-10-01,buenos aires,residentes,2891,
2010-10-01,buenos aires,total,2891,
2010-10-01,cordoba,no residentes,214,
2010-10-01,cordoba,residentes,1896,
2010-10-01,cordoba,total,2110,
2010-10-01,cuyo,no residentes,102,
2010-10-01,cuyo,residentes,3750,
2010-10-01,cuyo,total,3852,
2010-10-01,litoral,no residentes,40895,
2010-10-01,litoral,residentes,103422,
2010-10-01,litoral,total,144317,
2010-10-01,norte,no residentes,775,
2010-10-01,norte,residentes,7987,
2010-10-01,norte,total,8762,
2010-10-01,patagonia,no residentes,37858,
2010-10-01,patagonia,residentes,73014,
2010-10-01,patagonia,total,110872,
2010-11-01,buenos aires,no residentes,0,
2010-11-01,buenos aires,residentes,1438,
2010-11-01,buenos aires,total,1438,
2010-11-01,cordoba,no residentes,210,
2010-11-01,cordoba,residentes,730,
2010-11-01,cordoba,total,940,
2010-11-01,cuyo,no residentes,170,
2010-11-01,cuyo,residentes,2247,
2010-11-01,cuyo,total,2417,
2010-11-01,litoral,no residentes,50332,
2010-11-01,litoral,residentes,70135,
2010-11-01,litoral,total,120467,
2010-11-01,norte,no residentes,1468,
2010-11-01,norte,residentes,4698,
2010-11-01,norte,total,6166,
2010-11-01,patagonia,no residentes,64442,
2010-11-01,patagonia,residentes,82485,
2010-11-01,patagonia,total,146927,
2010-12-01,buenos aires,no residentes,0,
2010-12-01,buenos aires,residentes,384,
2010-12-01,buenos aires,total,384,
2010-12-01,cordoba,no residentes,207,
2010-12-01,cordoba,residentes,477,
2010-12-01,cordoba,total,684,
2010-12-01,cuyo,no residentes,141,
2010-12-01,cuyo,residentes,950,
2010-12-01,cuyo,total,1091,
2010-12-01,litoral,no residentes,45743,
2010-12-01,litoral,residentes,43758,
2010-12-01,litoral,total,89501,
2010-12-01,norte,no residentes,897,
2010-12-01,norte,residentes,2394,
2010-12-01,norte,total,3291,
2010-12-01,patagonia,no residentes,71087,
2010-12-01,patagonia,residentes,81163,
2010-12-01,patagonia,total,152250,
2011-01-01,buenos aires,no residentes,0,
2011-01-01,buenos aires,residentes,536,
2011-01-01,buenos aires,total,536,
2011-01-01,cordoba,no residentes,229,
2011-01-01,cordoba,residentes,2624,
2011-01-01,cordoba,total,2853,
2011-01-01,cuyo,no residentes,260,
2011-01-01,cuyo,residentes,6634,
2011-01-01,cuyo,total,6894,
2011-01-01,litoral,no residentes,55621,
2011-01-01,litoral,residentes,141973,
2011-01-01,litoral,total,197594,
2011-01-01,norte,no residentes,2512,
2011-01-01,norte,residentes,8512,
2011-01-01,norte,total,11024,
2011-01-01,patagonia,no residentes,94241,
2011-01-01,patagonia,residentes,325464,
2011-01-01,patagonia,total,419705,
2011-02-01,buenos aires,no residentes,0,
2011-02-01,buenos aires,residentes,891,
2011-02-01,buenos aires,total,891,
2011-02-01,cordoba,no residentes,208,
2011-02-01,cordoba,residentes,2137,
2011-02-01,cordoba,total,2345,
2011-02-01,cuyo,no residentes,200,
2011-02-01,cuyo,residentes,4985,
2011-02-01,cuyo,total,5185,
2011-02-01,litoral,no residentes,48181,
2011-02-01,litoral,residentes,96570,
2011-02-01,litoral,total,144751,
2011-02-01,norte,no residentes,1293,
2011-02-01,norte,residentes,5396,
2011-02-01,norte,total,6689,
2011-02-01,patagonia,no residentes,103185,
2011-02-01,patagonia,residentes,172672,
2011-02-01,patagonia,total,275857,
2011-03-01,buenos aires,no residentes,0,
2011-03-01,buenos aires,residentes,1939,
2011-03-01,buenos aires,total,1939,
2011-03-01,cordoba,no residentes,270,
2011-03-01,cordoba,residentes,2018,
2011-03-01,cordoba,total,2288,
2011-03-01,cuyo,no residentes,158,
2011-03-01,cuyo,residentes,4179,
2011-03-01,cuyo,total,4337,
2011-03-01,litoral,no residentes,52676,
2011-03-01,litoral,residentes,81989,
2011-03-01,litoral,total,134665,
2011-03-01,norte,no residentes,1611,
2011-03-01,norte,residentes,6741,
2011-03-01,norte,total,8352,
2011-03-01,patagonia,no residentes,66683,
2011-03-01,patagonia,residentes,101399,
2011-03-01,patagonia,total,168082,
2011-04-01,buenos aires,no residentes,0,
2011-04-01,buenos aires,residentes,511,
2011-04-01,buenos aires,total,511,
2011-04-01,cordoba,no residentes,284,
2011-04-01,cordoba,residentes,1576,
2011-04-01,cordoba,total,1860,
2011-04-01,cuyo,no residentes,170,
2011-04-01,cuyo,residentes,4309,
2011-04-01,cuyo,total,4479,
2011-04-01,litoral,no residentes,41430,
2011-04-01,litoral,residentes,63263,
2011-04-01,litoral,total,104693,
2011-04-01,norte,no residentes,2526,
2011-04-01,norte,residentes,12294,
2011-04-01,norte,total,14820,
2011-04-01,patagonia,no residentes,29676,
2011-04-01,patagonia,residentes,53649,
2011-04-01,patagonia,total,83325,
2011-05-01,buenos aires,no residentes,0,
2011-05-01,buenos aires,residentes,1514,
2011-05-01,buenos aires,total,1514,
2011-05-01,cordoba,no residentes,138,
2011-05-01,cordoba,residentes,1028,
2011-05-01,cordoba,total,1166,
2011-05-01,cuyo,no residentes,94,
2011-05-01,cuyo,residentes,1924,
2011-05-01,cuyo,total,2018,
2011-05-01,litoral,no residentes,26967,
